query-number Q0 document-id relevance
1 0 57660004 1 
1 0 57660423 1 
1 0 10329618 1 
1 0 3004651 1 
1 0 17015142 1 
1 0 15788337 1 
1 0 52322387 1 
1 0 52322787 1 
1 0 5870381 1 
1 0 28599166 1 
1 0 54522062 0 
1 0 54522462 0 
1 0 49348364 0 
1 0 49348670 0 
1 0 44428330 0 
1 0 44428730 0 
1 0 46220091 0 
1 0 51717253 0 
1 0 15972551 0 
1 0 19569789 0 
2 0 1156052 1 
2 0 22433465 1 
2 0 9150874 1 
2 0 40459847 1 
2 0 59727094 1 
2 0 59727493 1 
2 0 59727892 1 
2 0 39548132 1 
2 0 39548532 1 
2 0 17419885 1 
2 0 40460004 0 
2 0 12822239 0 
2 0 27393983 0 
2 0 16981478 0 
2 0 16412321 0 
2 0 12233580 0 
2 0 46736947 0 
2 0 7269360 0 
2 0 8147884 0 
2 0 38685430 0 
3 0 14455183 1 
3 0 1484103 1 
3 0 10664385 1 
3 0 10741566 1 
3 0 1125256 1 
3 0 20319077 1 
3 0 20360809 1 
3 0 2098866 1 
3 0 21295028 1 
3 0 19431258 1 
3 0 11243124 0 
3 0 4217605 0 
3 0 11734644 0 
3 0 30261538 0 
3 0 28853095 0 
3 0 14553318 0 
3 0 1010441 0 
3 0 20264424 0 
3 0 3194226 0 
3 0 35591787 0 
4 0 32403011 1 
4 0 32403415 1 
4 0 52688316 1 
4 0 52688762 1 
4 0 19943837 1 
4 0 33152030 1 
4 0 33649479 1 
4 0 24567806 1 
4 0 14688119 1 
4 0 42701767 1 
4 0 59669021 0 
4 0 59669430 0 
4 0 15814676 0 
4 0 15815077 0 
4 0 1413601 0 
4 0 30488923 0 
4 0 3906650 0 
4 0 28018649 0 
4 0 16472327 0 
4 0 26244452 0 
5 0 53507453 1 
5 0 7693358 1 
5 0 17453481 1 
5 0 17453881 1 
5 0 37648455 1 
5 0 43028238 1 
5 0 42675073 1 
5 0 46546229 1 
5 0 46546629 1 
5 0 31395973 1 
5 0 45146567 0 
5 0 45147043 0 
5 0 47754263 0 
5 0 47754656 0 
5 0 48075841 0 
5 0 48076241 0 
5 0 15030576 0 
5 0 2320943 0 
5 0 47070490 0 
5 0 47070888 0 
6 0 31746150 1 
6 0 34502970 1 
6 0 2646353 1 
6 0 30372845 1 
6 0 30372889 1 
6 0 16890289 1 
6 0 16897263 1 
6 0 6773144 1 
6 0 6307459 1 
6 0 8772907 1 
6 0 2743988 0 
6 0 17018754 0 
6 0 11718273 0 
6 0 15972689 0 
6 0 15972758 0 
6 0 15972858 0 
6 0 16284577 0 
6 0 46624036 0 
6 0 37419732 0 
6 0 6910180 0 
7 0 18475136 1 
7 0 5578035 1 
7 0 32531028 1 
7 0 30333101 1 
7 0 24770588 1 
7 0 17859172 1 
7 0 17859178 1 
7 0 1734420 1 
7 0 15435488 1 
7 0 22219493 1 
7 0 52983893 0 
7 0 24916432 0 
7 0 45329534 0 
7 0 45329934 0 
7 0 17277721 0 
7 0 15525924 0 
7 0 14724558 0 
7 0 2001952 0 
7 0 13780951 0 
7 0 43724452 0 
8 0 17735028 1 
8 0 29129201 1 
8 0 751174 1 
8 0 41073140 1 
8 0 27394625 1 
8 0 11299972 1 
8 0 21449556 1 
8 0 37079958 1 
8 0 37080357 1 
8 0 28665621 1 
8 0 10623683 0 
8 0 21119047 0 
8 0 10825929 0 
8 0 21073974 0 
8 0 26010709 0 
8 0 26011110 0 
8 0 26011511 0 
8 0 13223651 0 
8 0 51538870 0 
8 0 60160872 0 
9 0 22715764 1 
9 0 59335680 1 
9 0 828605 1 
9 0 16301448 1 
9 0 10211690 1 
9 0 10211890 1 
9 0 2013726 1 
9 0 15688554 1 
9 0 36505752 1 
9 0 40131547 1 
9 0 23494067 0 
9 0 20884418 0 
9 0 15524616 0 
9 0 33873568 0 
9 0 13531156 0 
9 0 18413932 0 
9 0 55182430 0 
9 0 55183030 0 
9 0 10617492 0 
9 0 10912452 0 
10 0 10687168 1 
10 0 2224550 1 
10 0 23217499 1 
10 0 23104756 1 
10 0 18954765 1 
