query-number Q0 document-id relevance
1 0 32668527 1 
1 0 44900808 1 
1 0 26944308 1 
1 0 26944325 1 
1 0 32418970 1 
1 0 32419373 1 
1 0 17462052 1 
1 0 17462452 1 
1 0 15935621 1 
1 0 23841737 1 
1 0 16638755 0 
1 0 1857681 0 
1 0 5405870 0 
1 0 40956724 0 
1 0 19441116 0 
1 0 27370956 0 
1 0 21534011 0 
1 0 23582830 0 
1 0 43613832 0 
1 0 43614232 0 
2 0 38417062 1 
2 0 45979829 1 
2 0 45979842 1 
2 0 45979848 1 
2 0 45979943 1 
2 0 45979956 1 
2 0 45979962 1 
2 0 53050516 1 
2 0 1030223 1 
2 0 20225346 1 
2 0 44928045 0 
2 0 6317899 0 
2 0 7536881 0 
2 0 55693389 0 
2 0 33142249 0 
2 0 29681342 0 
2 0 30424796 0 
2 0 17389471 0 
2 0 17389878 0 
2 0 11456118 0 
3 0 5422346 1 
3 0 3275732 1 
3 0 11741348 1 
3 0 23056030 1 
3 0 36706391 1 
3 0 9677035 1 
3 0 9677436 1 
3 0 2655350 1 
3 0 2655755 1 
3 0 10375244 1 
3 0 19236154 0 
3 0 13726471 0 
3 0 27696937 0 
3 0 27780017 0 
3 0 28609718 0 
3 0 11063474 0 
3 0 19623372 0 
3 0 33303743 0 
3 0 17236640 0 
3 0 11357821 0 
4 0 10052549 1 
4 0 10052749 1 
4 0 19310368 1 
4 0 19310768 1 
4 0 19310788 1 
4 0 34069822 1 
4 0 29850083 1 
4 0 13566754 1 
4 0 16650788 1 
4 0 14558160 1 
4 0 2569296 0 
4 0 11449300 0 
4 0 23494000 0 
4 0 38717812 0 
4 0 44423586 0 
4 0 44423988 0 
4 0 19125548 0 
4 0 19125549 0 
4 0 19154658 0 
4 0 34342419 0 
5 0 13321317 1 
5 0 44996894 1 
5 0 41600517 1 
5 0 41600942 1 
5 0 8873971 1 
5 0 7593975 1 
5 0 7594382 1 
5 0 7783589 1 
5 0 61484849 1 
5 0 30362436 1 
5 0 45978138 0 
5 0 45978545 0 
5 0 29391783 0 
5 0 5742591 0 
5 0 55794595 0 
5 0 20470829 0 
5 0 35642065 0 
5 0 43330882 0 
5 0 9848326 0 
5 0 42817302 0 
6 0 26413642 1 
6 0 26414087 1 
6 0 24982684 1 
6 0 44240068 1 
6 0 43445897 1 
6 0 55267781 1 
6 0 22224053 1 
6 0 31548835 1 
6 0 59627232 1 
6 0 59627631 1 
6 0 2569296 0 
6 0 22127648 0 
6 0 38304818 0 
6 0 50005553 0 
6 0 50005953 0 
6 0 3542464 0 
6 0 3542865 0 
6 0 45240086 0 
6 0 45240292 0 
6 0 45240491 0 
7 0 23139895 1 
7 0 47423058 1 
7 0 47423464 1 
7 0 48680771 1 
7 0 1717701 1 
7 0 1717902 1 
7 0 13270752 1 
7 0 24234652 1 
7 0 39756368 1 
7 0 3162161 1 
7 0 28054176 0 
7 0 41082994 0 
7 0 36776805 0 
7 0 10848147 0 
7 0 10848309 0 
7 0 10848329 0 
7 0 23660232 0 
7 0 15387637 0 
7 0 36770245 0 
7 0 56484849 0 
8 0 2538047 1 
8 0 24706237 1 
8 0 15835219 1 
8 0 23571412 1 
8 0 22284981 1 
8 0 31548574 1 
8 0 19618221 1 
8 0 12383028 1 
8 0 12383433 1 
8 0 22611404 1 
8 0 11965200 0 
8 0 4464418 0 
8 0 4289363 0 
8 0 41103168 0 
8 0 1945185 0 
8 0 35207532 0 
8 0 35045881 0 
8 0 24737623 0 
8 0 2507231 0 
8 0 25085586 0 
9 0 1132340 1 
9 0 35176300 1 
9 0 15788740 1 
9 0 39104762 1 
9 0 38970913 1 
9 0 54908498 1 
9 0 54908721 1 
9 0 3474616 1 
9 0 11485076 1 
9 0 1589341 1 
9 0 34192821 0 
9 0 42697170 0 
9 0 49484240 0 
9 0 49484694 0 
9 0 32438866 0 
9 0 32439268 0 
9 0 30689758 0 
9 0 29946087 0 
9 0 33952514 0 
9 0 13150610 0 
10 0 44913166 1 
10 0 3283127 1 
10 0 14738692 1 
10 0 14036539 1 
10 0 45145533 1 
10 0 45145638 1 
10 0 3906726 1 
10 0 42999621 1 
10 0 53819216 1 
10 0 53819223 1 
10 0 57601488 0 
10 0 57601908 0 
10 0 29908235 0 
10 0 33061946 0 
10 0 11911159 0 
10 0 14288289 0 
10 0 20362763 0 
10 0 1164719 0 
10 0 24215576 0 
10 0 18620828 0 
11 0 34718360 1 
11 0 34718760 1 
11 0 36047354 1 
11 0 36047554 1 
11 0 24914417 1 
11 0 32744111 1 
11 0 32752108 1 
11 0 11485076 1 
11 0 11500610 1 
11 0 11365031 1 
11 0 10951490 0 
11 0 21001368 0 
11 0 11996928 0 
11 0 16801432 0 
11 0 18091195 0 
11 0 4042114 0 
11 0 30883400 0 
11 0 52388213 0 
11 0 52388613 0 
11 0 27315959 0 
12 0 7203795 1 
12 0 56850089 1 
12 0 8330746 1 
12 0 10298246 1 
12 0 2710042 1 
12 0 2710244 1 
12 0 26035158 1 
12 0 26035599 1 
12 0 26036005 1 
