query-number Q0 document-id relevance
1 0 23841737 1 
1 0 23841737 0 
2 0 20225346 1 
2 0 20225346 0 
3 0 10375244 1 
3 0 10375244 0 
4 0 14558160 1 
4 0 14558160 0 
5 0 30362436 1 
5 0 30362436 0 
6 0 59627631 1 
6 0 59627631 0 
7 0 3162161 1 
7 0 3162161 0 
8 0 22611404 1 
8 0 22611404 0 
9 0 1589341 1 
9 0 1589341 0 
10 0 53819223 1 
10 0 53819223 0 
11 0 11365031 1 
11 0 11365031 0 
12 0 2495681 1 
12 0 2495681 0 
13 0 17560413 1 
13 0 17560413 0 
14 0 7092484 1 
14 0 7092484 0 
15 0 37297299 1 
15 0 37297299 0 
16 0 14853586 1 
16 0 14853586 0 
17 0 206883 1 
17 0 206883 0 
18 0 21517050 1 
18 0 21517050 0 
19 0 53561341 1 
19 0 53561341 0 
20 0 41548465 1 
20 0 41548465 0 
21 0 41672277 1 
21 0 41672277 0 
22 0 3610695 1 
22 0 3610695 0 
23 0 57256062 1 
23 0 57256062 0 
24 0 23841737 1 
24 0 23841737 0 
25 0 32131568 1 
25 0 32131568 0 
26 0 3906514 1 
26 0 3906514 0 
27 0 23668075 1 
27 0 23668075 0 
28 0 44451212 1 
28 0 44451212 0 
29 0 30126942 1 
29 0 30126942 0 
30 0 9830968 1 
30 0 9830968 0 
31 0 19408052 1 
31 0 19408052 0 
32 0 41686958 1 
32 0 41686958 0 
33 0 16657154 1 
33 0 16657154 0 
34 0 14666557 1 
34 0 14666557 0 
35 0 44554781 1 
35 0 44554781 0 
36 0 10451257 1 
36 0 10451257 0 
37 0 10640129 1 
37 0 10640129 0 
38 0 55089833 1 
38 0 55089833 0 
39 0 4641740 1 
39 0 4641740 0 
