query-number Q0 document-id relevance
1 0 28599166 1 
1 0 28599166 0 
2 0 17419885 1 
2 0 17419885 0 
3 0 19431258 1 
3 0 19431258 0 
4 0 42701767 1 
4 0 42701767 0 
5 0 31395973 1 
5 0 31395973 0 
6 0 8772907 1 
6 0 8772907 0 
7 0 22219493 1 
7 0 22219493 0 
8 0 28665621 1 
8 0 28665621 0 
9 0 40131547 1 
9 0 40131547 0 
10 0 2819410 1 
10 0 2819410 0 
11 0 26854784 1 
11 0 26854784 0 
12 0 57367738 1 
12 0 57367738 0 
13 0 10542497 1 
13 0 10542497 0 
14 0 59021187 1 
14 0 59021187 0 
15 0 11141149 1 
15 0 11141149 0 
16 0 51479442 1 
16 0 51479442 0 
17 0 16215762 1 
17 0 16215762 0 
18 0 11790705 1 
18 0 11790705 0 
19 0 23923188 1 
19 0 23923188 0 
20 0 31768877 1 
20 0 31768877 0 
21 0 39216277 1 
21 0 39216277 0 
22 0 25634434 1 
22 0 25634434 0 
23 0 15900529 1 
23 0 15900529 0 
24 0 30838034 1 
24 0 30838034 0 
25 0 17797122 1 
25 0 17797122 0 
26 0 16769511 1 
26 0 16769511 0 
27 0 26708364 1 
27 0 26708364 0 
28 0 4209340 1 
28 0 4209340 0 
29 0 17332376 1 
29 0 17332376 0 
30 0 21069477 1 
30 0 21069477 0 
31 0 10876619 1 
31 0 10876619 0 
32 0 44822988 1 
32 0 44822988 0 
33 0 23411747 1 
33 0 23411747 0 
34 0 12254020 1 
34 0 12254020 0 
35 0 24563032 1 
35 0 24563032 0 
36 0 56884487 1 
36 0 56884487 0 
37 0 46924653 1 
37 0 46924653 0 
38 0 35545757 1 
38 0 35545757 0 
39 0 46255298 1 
39 0 46255298 0 
